VALUE1,VALUE2,VALUE3,CLASS
0.719060271,0.410187165,0.43491572,1
0.411243621,0.08794687,0.366568256,0
0.943542917,0.838729827,0.19994993,1
0.240526848,0.908356882,0.996829705,0
0.351357525,0.718918064,0.936871004,0
0.927103182,0.337020933,0.829269865,1
0.742555568,0.982461152,0.934052591,0
0.386887498,0.765530175,0.876771644,0
0.037699304,0.632242233,0.188638303,0
0.026155475,0.249433657,0.333293585,0
0.627904091,0.125714663,0.344009187,1
0.428877415,0.480032095,0.012912703,0
0.73309777,0.302907519,0.041522941,1
0.356081782,0.465852681,0.495583483,0
0.349468562,0.70923123,0.232151595,0
0.494157532,0.383668432,0.700696347,0
0.257701647,0.868182781,0.303249627,0
0.105856925,0.433063791,0.494027857,0
0.076553168,0.576070545,0.791572598,0
0.854261438,0.292214037,0.626309768,1
0.56973319,0.706616785,0.050250866,0
0.797727314,0.912342273,0.575683036,0
0.080612386,0.76586802,0.418674331,0
0.222454516,0.820584817,0.313460566,0
0.879802715,0.315809423,0.172879497,1
0.299924399,0.627599361,0.304260788,0
0.040154506,0.263365534,0.329257858,0
0.647042818,0.282600915,0.449527423,1
0.262863949,0.749003119,0.486791753,0
0.160349549,0.213644377,0.443916476,0
0.014404972,0.925015782,0.480851036,0
0.160622935,0.512188142,0.204565901,0
0.707826928,0.724874866,0.644147807,0
0.298277236,0.816446888,0.682215586,0
0.40174137,0.053271835,0.097458893,1
0.841463308,0.353867764,0.865882488,1
0.346358725,0.211157702,0.843077741,0
0.985779731,0.911165877,0.950807471,0
0.383693667,0.070046335,0.677482697,0
0.663717389,0.930485531,0.668216126,0
0.178189862,0.122846035,0.837154567,0
0.398464956,0.382034407,0.903365824,0
0.082972131,0.090411521,0.140398932,0
0.123995682,0.121442816,0.420900422,0
0.071713816,0.643977052,0.831348542,0
0.275736652,0.722703661,0.127845407,0
0.157882506,0.329732989,0.494490665,0
0.384582959,0.237999795,0.301436125,0
0.982059106,0.928110767,0.741179683,0
0.201443814,0.856808328,0.102877232,0
0.649917697,0.861903114,0.860872118,0
0.99548439,0.940504658,0.89846538,0
0.418466037,0.383989778,0.34080217,0
0.006191953,0.576409026,0.418885472,0
0.841429027,0.58307633,0.858386884,0
0.705087416,0.038269578,0.93563311,0
0.894761611,0.452698328,0.951534813,1
0.904113748,0.078340266,0.928666879,1
0.197487568,0.513903967,0.148056166,0
0.263697956,0.674398234,0.261762873,0
0.786858597,0.04981426,0.195287883,1
0.419814894,0.979214511,0.297168989,0
0.330609981,0.789031588,0.077147994,0
0.516162753,0.565868755,0.007932433,1
0.432139026,0.581196599,0.177426358,0
0.829595658,0.668458275,0.140161854,1
0.468932686,0.532789413,0.573439853,0
0.185387854,0.608209535,0.904479773,0
0.802118594,0.846455967,0.536129492,0
0.096383393,0.742219305,0.335043618,0
0.630477885,0.086712426,0.110367822,1
0.163429225,0.070517359,0.509156679,0
0.415303397,0.32750327,0.609917884,0
0.596375919,0.490942395,0.87449785,0
0.753320956,0.1878523,0.061042849,1
0.620307949,0.619295193,0.07782557,1
0.993916495,0.491913668,0.454419051,1
0.94621094,0.615954528,0.4160093,1
0.968916715,0.814422382,0.370362766,1
0.233051288,0.801700688,0.002801858,0
0.422509938,0.47890371,0.957296045,0
0.392230138,0.173222341,0.115292779,0
0.743133392,0.181444347,0.011133395,1
0.266810322,0.948815769,0.86347396,0
0.126689265,0.695394477,0.166918798,0
0.731643767,0.938635975,0.194184116,0
0.603066178,0.03525261,0.148012097,1
0.568341007,0.507480058,0.01538673,1
0.637985065,0.943913124,0.152701388,0
0.951003656,0.818782821,0.408042134,1
0.419644454,0.624420357,0.919898984,0
0.672093161,0.029990928,0.645583028,1
0.016779357,0.0517727,0.470540537,0
0.173213128,0.588385788,0.38704869,0
0.990416703,0.381755432,0.0273411,1
0.20793057,0.634432278,0.521220346,0
0.584597482,0.805579541,0.725313862,0
0.154708692,0.128925039,0.606266,0
0.082169522,0.187185461,0.967775477,0
0.623737531,0.917423647,0.491211973,0
0.426124902,0.135907689,0.041636742,1
0.713891723,0.073214163,0.668520824,1
0.660016682,0.529589809,0.309275344,1
0.253683768,0.420328169,0.82397725,0
0.869194283,0.308049748,0.764178394,1
0.1814261,0.256269637,0.148024936,0
0.498672567,0.131102667,0.393613566,1
0.093530256,0.752846843,0.798891925,0
0.42342513,0.990557701,0.941041045,0
0.249871537,0.894473843,0.388357864,0
0.29932102,0.27374656,0.30639408,0
0.48322028,0.270857471,0.78513364,0
0.013343784,0.146508388,0.05257003,0
0.619083342,0.294601073,0.345414871,1
0.358959131,0.517887742,0.424612693,0
0.808508762,0.717550941,0.516546175,0
0.390849498,0.232435478,0.081790417,0
0.363527629,0.910338338,0.406095956,0
0.439769468,0.205927946,0.404118,0
0.639615778,0.285928928,0.288078979,1
0.410325332,0.931478549,0.612499679,0
0.557362051,0.172031539,0.272797927,1
0.354125137,0.647964568,0.869528241,0
0.045948239,0.167479702,0.438763765,0
0.215248853,0.605955022,0.544582866,0
0.848957124,0.366443394,0.520745774,1
0.121916526,0.145387083,0.384989301,0
0.902748612,0.769229385,0.564969247,0
0.192882808,0.258910434,0.522059949,0
0.702716189,0.813200412,0.662076847,0
0.179361336,0.034081767,0.438533113,0
0.231527654,0.444159933,0.278983344,0
0.68155724,0.665339016,0.296282004,1
0.293194306,0.948547438,0.216872906,0
0.965669953,0.491112671,0.407274774,1
0.614484552,0.788404878,0.945997287,0
0.847639479,0.152145804,0.074011588,1
0.398428661,0.7125036,0.712696119,0
0.207961982,0.438901548,0.939585249,0
0.686393288,0.898937416,0.208101469,0
0.996904325,0.453914836,0.224870155,1
0.259452498,0.204625035,0.108416943,0
0.726611109,0.508436074,0.905951216,0
0.462886642,0.332359186,0.735121557,0
0.243268442,0.187013412,0.875060179,0
0.468088391,0.201143392,0.599252238,0
5.2847E-05,0.363324773,0.222233841,0
0.537537543,0.391919163,0.919932313,0
0.167410227,0.844569369,0.50930916,0
0.488362717,0.357061994,0.847014095,0
0.146597747,0.950661095,0.329875057,0
0.16986796,0.949942407,0.813968514,0
0.418299913,0.006411279,0.407569837,0
0.787748096,0.27994151,0.100873228,1
0.038531689,0.553503133,0.112268619,0
0.827887101,0.586999288,0.293435192,1
0.653220932,0.061894764,0.0465426,1
0.717875837,0.979153982,0.042063051,0
0.835187767,0.790273374,0.948697393,0
0.128918831,0.218650985,0.010767961,0
0.181605359,0.135333436,0.549804966,0
0.058571812,0.720165279,0.691304758,0
0.967144424,0.990942337,0.691356717,0
0.87415753,0.290324419,0.100873145,1
0.088967404,0.293039507,0.293226441,0
0.183498043,0.581531743,0.00945802,0
0.027130237,0.26850981,0.926741346,0
0.30548635,0.247749896,0.437365759,0
0.852713462,0.204839907,0.68418426,1
0.209499109,0.135245549,0.181922619,0
0.939258832,0.034290545,0.241193363,1
0.3142719,0.945062502,0.878410645,0
0.411619621,0.884016576,0.955603417,0
0.690026921,0.226664444,0.231905217,1
0.322650685,0.702785221,0.393305036,0
0.295330859,0.434623109,0.740774024,0
0.471941909,0.760844931,0.550898371,0
0.687524058,0.071780557,0.849287581,0
0.288941528,0.348909536,0.015176582,0
0.636093364,0.250402894,0.495573657,1
0.78508987,0.265637225,0.020093138,1
0.899300375,0.901592711,0.359548254,0
0.679125477,0.146553114,0.001027246,1
0.219432594,0.608070128,0.170635684,0
0.066701192,0.289636269,0.822672293,0
0.328727032,0.72643423,0.004952627,0
0.019152612,0.328467674,0.355563925,0
0.376898443,0.001373039,0.052786953,1
0.199299538,0.704588495,0.935547947,0
0.293486991,0.156348504,0.066105014,0
0.277028384,0.568502905,0.517817485,0
0.774419345,0.75310101,0.086702844,1
0.072659203,0.495789711,0.331998209,0
0.46573248,0.49007693,0.795228131,0
0.364864766,0.801235704,0.188517852,0
0.893076164,0.127880273,0.774802903,1
0.513801509,0.203479111,0.40436065,0
0.631731818,0.707055043,0.494336305,0
0.946859114,0.794786665,0.259763805,1
0.62046253,0.525971836,0.586147465,0
0.0933045,0.444374251,0.227303135,0
0.721015768,0.797049155,0.971954426,0
0.056561985,0.329692566,0.459786862,0
0.738248479,0.047008307,0.769298042,1
0.393481158,0.108193147,0.478295056,0
0.829818723,0.997528349,0.77261299,0
0.954033336,0.81997521,0.966765818,0
0.830377329,0.468155629,0.347280733,1
0.296878787,0.815270019,0.194353512,0
0.589957687,0.688157986,0.900394647,0
0.345133389,0.226888844,0.926757982,0
0.392136423,0.505679461,0.485787168,0
0.429246479,0.713597742,0.970749823,0
0.069406817,0.049630839,0.975085473,0
0.155783544,0.759749312,0.85621879,0
0.235202955,0.162052783,0.46812769,0
0.528877481,0.318045787,0.057042906,1
0.922904494,0.654429637,0.682972823,1
0.928099853,0.768297748,0.333210353,1
0.997006848,0.226536906,0.740050774,1
0.531521698,0.90022747,0.442463265,0
0.922748136,0.318569656,0.16079662,1
0.294111454,0.303065674,0.923963213,0
0.422054552,0.875821331,0.973149875,0
0.671172182,0.976272603,0.350793576,0
0.620027572,0.618325515,0.233168013,0
0.922611797,0.321192429,0.684959469,1
0.194863679,0.719082188,0.178313962,0
